Team,Game ID,Type,Inning,Score
Astros,748165,Offensive,1,0
Astros,748165,Offensive,2,0
Astros,748165,Offensive,3,0
Astros,748165,Offensive,4,0
Astros,748165,Offensive,5,2
Astros,748165,Offensive,6,5
Astros,748165,Offensive,7,2
Astros,748165,Offensive,8,1
Astros,748165,Offensive,9,0
Nationals,748165,Offensive,1,1
Nationals,748165,Offensive,2,2
Nationals,748165,Offensive,3,0
Nationals,748165,Offensive,4,1
Nationals,748165,Offensive,5,0
Nationals,748165,Offensive,6,0
Nationals,748165,Offensive,7,0
Nationals,748165,Offensive,8,2
Nationals,748165,Offensive,9,2
Mets,748162,Offensive,1,0
Mets,748162,Offensive,2,1
Mets,748162,Offensive,3,0
Mets,748162,Offensive,4,0
Mets,748162,Offensive,5,0
Mets,748162,Offensive,6,0
Mets,748162,Offensive,7,0
Mets,748162,Offensive,8,1
Mets,748162,Offensive,9,0
Cardinals,748162,Offensive,1,0
Cardinals,748162,Offensive,2,0
Cardinals,748162,Offensive,3,2
Cardinals,748162,Offensive,4,1
Cardinals,748162,Offensive,5,0
Cardinals,748162,Offensive,6,0
Cardinals,748162,Offensive,7,0
Cardinals,748162,Offensive,8,0
Cardinals,748162,Offensive,9,0
Rays,748161,Offensive,1,3
Rays,748161,Offensive,2,0
Rays,748161,Offensive,3,0
Rays,748161,Offensive,4,0
Rays,748161,Offensive,5,1
Rays,748161,Offensive,6,1
Rays,748161,Offensive,7,0
Rays,748161,Offensive,8,0
Rays,748161,Offensive,9,3
Pirates,748161,Offensive,1,1
Pirates,748161,Offensive,2,3
Pirates,748161,Offensive,3,1
Pirates,748161,Offensive,4,0
Pirates,748161,Offensive,5,1
Pirates,748161,Offensive,6,2
Pirates,748161,Offensive,7,4
Pirates,748161,Offensive,8,0
Pirates,748161,Offensive,9,0
Red Sox,748164,Offensive,1,1
Red Sox,748164,Offensive,2,1
Red Sox,748164,Offensive,3,0
Red Sox,748164,Offensive,4,0
Red Sox,748164,Offensive,5,0
Red Sox,748164,Offensive,6,0
Red Sox,748164,Offensive,7,0
Red Sox,748164,Offensive,8,0
Red Sox,748164,Offensive,9,1
Twins,748164,Offensive,1,1
Twins,748164,Offensive,2,0
Twins,748164,Offensive,3,4
Twins,748164,Offensive,4,0
Twins,748164,Offensive,5,0
Twins,748164,Offensive,6,0
Twins,748164,Offensive,7,0
Twins,748164,Offensive,8,0
Twins,748164,Offensive,9,0
Phillies,748160,Offensive,1,0
Phillies,748160,Offensive,2,1
Phillies,748160,Offensive,3,0
Phillies,748160,Offensive,4,0
Phillies,748160,Offensive,5,0
Phillies,748160,Offensive,6,0
Phillies,748160,Offensive,7,0
Phillies,748160,Offensive,8,0
Phillies,748160,Offensive,9,1
Tigers,748160,Offensive,1,0
Tigers,748160,Offensive,2,0
Tigers,748160,Offensive,3,0
Tigers,748160,Offensive,4,0
Tigers,748160,Offensive,5,0
Tigers,748160,Offensive,6,3
Tigers,748160,Offensive,7,1
Tigers,748160,Offensive,8,0
Tigers,748160,Offensive,9,0
Orioles,748166,Offensive,1,0
Orioles,748166,Offensive,2,0
Orioles,748166,Offensive,3,3
